timestamp | username | ip_address | event | status
2026-05-08 10:01 | alejandro | 192.168.1.20 | login | failed
2026-05-08 10:02 | alejandro | 192.168.1.20 | login | failed
2026-05-08 10:03 | admin | 192.168.1.20 | login | failed
2026-05-08 10:04 | admin | 192.168.1.20 | login | failed
2026-05-08 10:05 | admin | 192.168.1.20 | login | success
2026-05-08 10:06 | guest | 10.0.0.55 | login | failed
2026-05-08 10:06 | guest | 10.0.0.55 | login | failed
2026-05-08 10:06 | guest | 10.0.0.55 | login | failed
2026-05-08 10:06 | guest | 10.0.0.55 | login | failed
2026-05-08 10:06 | guest | 10.0.0.55 | login | failed
